Barangay, The smallest administrative division of the Philippines.
_ad patres_, "gone to his fathers, died"
_pro forma_, "Perfunctorily, for the sake of procedure or politeness."
_sotto voce_, quietly
abstemious, indulging in moderation
antinomian, Rejecting laws and moral codes.
antiparallel, going in opposite directions
badinage, banter
burgeon, "a bud, sprout, or shoot"
bête noire, "Literally “black beast”; figuratively, an object of aversion."
chancel, "The part of a church near the altar, separated from the nave by a barrier."
corbel, A projection jutting out from a wall.
cupidity, greed
cynosure, A focal point of attention and admiration.
desultory, disappointing
dispositive, Relating to a final judgement or determination.
dowdy, Unfashionably dressed.
epigram, "A short, witty saying."
epigraph, A quotation at the beginning of a book.
facile, superficial
feckless, purposeless/unskilled
glyptic art, The art of carving small gemstones.
grandam, grandmother
hereunder, Under this
hieratic, of or pertaining to priests
hypostatize, to treat something abstract as concrete
imbricate, to overlap
impecunious, Lacking money
insouciance, indifference/nonchalance
inveigle, To convince through lies and flattery.
machicolation, "A hole on the floor of a corbel, through which stones can be thrown at attackers."
manacle, shackles
mantic, prophetic
meretricious, Apparently attractive but lacking real value
nicodemite, Someone suspected of misrepresenting their religious beliefs.
outré, extravagant
panentheism, "The idea that God is everywhere, but also transcends the material universe."
particoloured, many-coloured
pluperfect, more than perfect/ideal
prosaic, "like prose, matter of fact, lacking poetry"
protean, frequently changing
redolent, "Having the smell of something, suggestive"
sangfroid, composure/coolness
sanguine, optimistic
sere, dried up
serried, standing close together
slovenly, "An untidy, unkempt person."
spavined, "Lame, old, worn-out."
sully, To soil something.
threadbare, (of clothing) worn out
trabant, satellite/follower
upbraid, To criticize severely.
valetudinarian, Hypochondriacal.
vehmic, "Of or relating to the Vehm, a medieval German secret court."
voir dire,A preliminary examination of a juror or witness.
wane, To diminish.
wax (verb), to grow
wherefore, why / therefore
