# Preface
bonjour; good morning
bonsoir; good evening
bonne nuit; good night
comment allez-vous?; how are you?
très bien, merci; I'm fine, thanks.
pas mal, merci; not bad, thanks.
comme ci, comme ça; so-so

# Part 1, Chapter 1
le chat; the cat
le chien; the dog
le cinéma; the cinema
le cours; the course
le football; soccer
le frère; the brother
le garçon; the boy
le livre; the book
le téléphone; the telephone
le vin; the wine
la banque; the bank
la boutique; the store
la chemise; the shirt
la femme; the woman/wife
la fille; the girl
la lampe; the lamp
la langue; the language
la sœur; the sister
la table; the table
la voiture; the car
la chaleur; heat
la croix; the cross
la distraction; the amusement
la fleur; the flower
la fois; the occasion
la forêt; the forest
la fourmi; the ant
la main; the hand
la nuit; the night
la radio; the radio
l'ami (m.); the friend (m.)
l’amie (f.); the friend (f.)
l’anglais (m.); English (language)
l’emploi (m.); the job
l’énergie (f.); energy
l’enfant; the child
l’histoire (f.); the story/history
l’homme (m.); the man
l’hôtel (m.); the hotel
l’île (f.); the island
l’orange (f.); the orange (fruit)
l’université (f.); the university
l’usine (f.); the factory
la fenêtre (f.); the window
l’âge (m.); age
l’horloge (f.); the clock
la peau; skin
le silence; silence
l'eau (f.); water
le tennis; tennis
le jazz; jazz
le basket-ball; basketball
la pizza; the pizza
l’Allemand; the German (m.)
l’Allemande; the German (f.)
l’Américain; the American (m.)
l’Américaine; the American (f.)
l’ami; the friend (m.)
l’amie; the friend (f.)
l’étudiant; the student (m.)
l’étudiante; the student (f.)
le Français; the Frenchman
la Française; the Frenchwoman
l’auteur (m.); the author
la personne; the person
l’écrivain (m.) the writer
le professeur; the teacher
l’ingénieur (m.); the engineer
la sentinelle; the guard
le médecin; the physician
la victime; the victim
le journaliste; the journalist (m.)
la journaliste; the journalist (f.)
le secrétaire; the secretary (m.)
la secrétaire; the secretary (f.)
le touriste; the tourist (m.)
la touriste; the tourist (f.)

% Heliopolis
la pièce était obscure; the room was dark
la pièce était bercée d’un roulis léger; the room was rocked by a light rolling
plafond; ceiling
a spark; une étincelle
