Indonesian, English
anama, name
saya, I am
dari, from
pelancong, tourist
bapak, mister
ya, yes
tidak, no
selamat pagi, good morning
selamat siang, good day
selamat sore, good afternoon
selamat malam, good evening
selamat datang, welcome
mahasiswa, student (male)
mahasiswi, student (female)
maaf, excuse me / sorry
kami, we (excluding interlocutor)
kita, we (including interlocutor)
perusahaan, company
dan, and
dengan, with
juga, too / also
anda / saudara, "you (singular, formal)"
dia, he/she
mereka, they
